,playerid,date_of_birth,place_of_birth,nation,height,weight,shoots,rights,under_contract,draft_year,draft_round,draft_pick,draft_team,shortname,status,nhl_draft,rankings,catches,draft_year_eligible,load_date,player_name,nhl_likelihood,most_likelihood_nhl_node,nhl_expected_value
0,116244,1999-01-04,"Brig, SUI",Switzerland,186.0,79.0,L,New Jersey Devils,True,2017,1,1,New Jersey Devils,nico-hischier,,,,,2017,2020-06-03,Nico Hischier,1.0,3,67.9
1,310545,2000-04-13,"Trollhättan, SWE",Sweden,189.0,86.0,L,Buffalo Sabres,True,2018,1,1,Buffalo Sabres,rasmus-dahlin,,,,,2018,2020-06-03,Rasmus Dahlin,1.0,4,130.3
2,305432,2001-05-14,"Orlando, FL, USA",USA,179.0,77.0,L,New Jersey Devils,True,2019,1,1,New Jersey Devils,jack-hughes,,,,,2019,2020-06-03,Jack Hughes,1.0,5,288.7
3,201664,1999-02-16,"Peterborough, ON, CAN",Canada,185.0,91.0,R,Florida Panthers,True,2017,1,10,Florida Panthers,owen-tippett,,,,,2017,2020-06-03,Owen Tippett,0.76,4,39.9
4,512832,2001-06-24,"Moskva, RUS",Russia,185.0,87.0,L,Vancouver Canucks,False,2019,1,10,Vancouver Canucks,vasili-podkolzin,,,,,2019,2020-06-03,Vasili Podkolzin,0.54,23,38.7
5,300591,1999-10-20,"Oakville, ON, CAN",Canada,191.0,88.0,R,Edmonton Oilers,True,2018,1,10,Edmonton Oilers,evan-bouchard,,,,,2018,2020-06-03,Evan Bouchard,0.76,6,23.9
6,272376,2000-05-31,"Tabor, CZE",Czech Rep.,183.0,90.0,L,Edmonton Oilers,False,2019,4,100,Edmonton Oilers,matej-blumel,,,,,2018,2020-06-03,Matej Blümel,0.22,17,14.4
7,265424,1999-01-14,"Rødovre, DEN",Denmark,200.0,93.0,L,Detroit Red Wings,False,2017,4,100,Detroit Red Wings,malte-setkov,,,,,2017,2020-06-03,Malte Setkov,0.04,6,0.9
8,319554,2000-01-26,"Pontresina, SUI",Switzerland,186.0,86.0,L,,,2018,4,101,New York Rangers,nico-gross,,,,,2018,2020-06-03,Nico Gross,0.16,19,7.4
9,249597,1998-02-10,"Stratford, ON, CAN",Canada,196.0,106.0,L,,,2016,4,101,Toronto Maple Leafs,keaton-middleton,,,,,2016,2020-06-03,Keaton Middleton,0.09,3,2.9
10,297961,1999-04-18,"Kanata, ON, CAN",Canada,195.0,83.0,R,,,2017,4,101,Dallas Stars,liam-hawel,,,,,2017,2020-06-03,Liam Hawel,0.17,6,1.1
11,445218,2001-03-12,"Southborough, MA, USA",USA,188.0,88.0,L,Anaheim Ducks,False,2019,4,101,Anaheim Ducks,henry-thrun,,,,,2019,2020-06-03,Henry Thrun,0.19,18,13.3
12,262799,1998-01-22,"Ashland, OR, USA",USA,193.0,96.0,L,San Jose Sharks,False,2018,4,102,San Jose Sharks,jasper-weatherby,,,,,2016,2020-06-03,Jasper Weatherby,0.03,4,1.4
13,269301,1999-04-04,"Prior Lake, MN, USA",USA,188.0,93.0,R,San Jose Sharks,False,2017,4,102,San Jose Sharks,scott-reedy,,,,,2017,2020-06-03,Scott Reedy,0.08,7,2.8
14,312218,1998-03-12,"St. Petersburg, RUS",Russia,191.0,100.0,L,New Jersey Devils,True,2016,4,102,New Jersey Devils,mikhail-maltsev,,,,,2016,2020-06-03,Mikhail Maltsev,0.1,3,2.8
15,418350,2001-07-18,"London, ON, CAN",Canada,185.0,80.0,L,Philadelphia Flyers,False,2019,4,103,Philadelphia Flyers,mason-millman,,,,,2019,2020-06-03,Mason Millman,0.38,20,20.7
16,201512,1999-05-25,"Roseville, MN, USA",USA,183.0,89.0,L,Los Angeles Kings,True,2017,4,103,Los Angeles Kings,mikey-anderson,,,,,2017,2020-06-03,Mikey Anderson,0.22,5,4.1
17,283915,2000-02-28,"Woodridge, IL, USA",USA                                                                                             /  Czech Rep.,180.0,90.0,L,New York Islanders,False,2018,4,103,New York Islanders,jacob-pivonka,,,,,2018,2020-06-03,Jacob Pivonka,0.08,11,3.1
18,332303,2000-06-15,"Espoo, FIN",Finland,187.0,86.0,L,Carolina Hurricanes,False,2018,4,104,Carolina Hurricanes,lenni-killinen,,,,,2018,2020-06-03,Lenni Killinen,0.19,14,9.9
19,290470,2001-05-27,"Havlickuv Brod, CZE",Czech Rep.,191.0,87.0,R,Chicago Blackhawks,True,2019,4,105,Chicago Blackhawks,michal-teply,,,,,2019,2020-06-03,Michal Teplý,0.22,25,8.3
20,283531,1999-05-11,"Kirkkonummi, FIN",Finland,188.0,92.0,L,Winnipeg Jets,False,2017,4,105,Winnipeg Jets,santeri-virtanen,,,,,2017,2020-06-03,Santeri Virtanen,0.05,9,0.7
21,341691,1999-11-19,"Zvolen, SVK",Slovakia,188.0,83.0,L,Calgary Flames,True,2018,4,105,Calgary Flames,martin-pospisil,,,,,2018,2020-06-03,Martin Pospisil,0.31,5,19.9
22,351462,2000-03-06,"Oakville, ON, CAN",Canada,204.0,113.0,L,,,2018,4,106,Dallas Stars,curtis-douglas,,,,,2018,2020-06-03,Curtis Douglas,0.23,12,4.0
23,268417,1999-01-06,"Mississauga, ON, CAN",Canada,193.0,93.0,L,Philadelphia Flyers,True,2017,4,106,Philadelphia Flyers,matthew-strome,,,,,2017,2020-06-03,Matthew Strome,0.11,5,1.7
24,299029,1999-09-17,"North Vancouver, BC, CAN",Canada,183.0,91.0,L,Florida Panthers,False,2019,4,106,Florida Panthers,carter-berger,,,,,2018,2020-06-03,Carter Berger,0.02,7,0.6
25,395123,2000-08-16,"Yaroslavl, RUS",Russia,180.0,86.0,R,Arizona Coyotes,False,2019,4,107,Arizona Coyotes,alexander-daryin,,,,,2018,2020-06-03,Alexander Daryin,0.1,31,4.6
26,212632,1998-06-12,"Luleå, SWE",Sweden,189.0,86.0,L,,,2016,4,107,Detroit Red Wings,alfons-malmstrom,,,,,2016,2020-06-03,Alfons Malmström,0.11,21,6.1
27,313615,1999-02-10,"Brest, BLR",Belarus,183.0,84.0,L,Philadelphia Flyers,True,2017,4,107,Philadelphia Flyers,maxim-sushko,,,,,2017,2020-06-03,Maxim Sushko,0.14,5,2.6
28,201670,1999-01-06,"North York, ON, CAN",Canada,183.0,87.0,L,,,2017,4,108,Arizona Coyotes,noel-hoefenmayer,,,,,2017,2020-06-03,Noel Hoefenmayer,0.19,5,5.1
29,354063,2000-03-24,"Pittsburgh, PA, USA",USA,178.0,83.0,L,Calgary Flames,False,2018,4,108,Calgary Flames,demetrios-koumontzis,,,,,2018,2020-06-03,Demetrios Koumontzis,0.14,13,5.5
30,482887,2001-01-22,"Magnitogorsk, RUS",Russia,188.0,84.0,R,San Jose Sharks,False,2019,4,108,San Jose Sharks,yegor-spiridonov,,,,,2019,2020-06-03,Yegor Spiridonov,0.11,43,4.5
31,242658,1998-07-04,"Kåge, SWE",Sweden,192.0,90.0,L,,,2016,4,108,Nashville Predators,hardy-haman-aktell,,,,,2016,2020-06-03,Hardy Häman Aktell,0.0,1,1.0
32,201481,1999-10-11,"Basking Ridge, NJ, USA",USA,175.0,77.0,L,Nashville Predators,False,2019,4,109,Nashville Predators,marc-del-gaizo,,,,,2018,2020-06-03,Marc Del Gaizo,0.13,7,2.0
