playerid,date_of_birth,place_of_birth,nation,height,weight,shoots,rights,under_contract,draft_year,draft_round,draft_pick,draft_team,shortname,status,nhl_draft,rankings,catches,draft_year_eligible,load_date,player,season_age,start_league,league,probability,gp,ppg,gpg,apg,perc_team_a,perc_team_g,perc_team_tp,start_node,node,epoints,nhl_xvalue,xvalue,cond_probability
116244,1999-01-04,"Brig, SUI",Switzerland,186.0,79.0,L,New Jersey Devils,True,2017,1,1,New Jersey Devils,nico-hischier,,,,,2017,2020-06-03,Nico Hischier,22.0,NHL,NHL,1.0,82.0,0.8799586296081543,0.3422061337365045,0.5377524958716497,0.10414050747130355,0.11220550578997332,0.10655692793558134,1,2,72.15660762786865,203.8,144.3132152557373,1.0
116244,1999-01-04,"Brig, SUI",Switzerland,186.0,79.0,L,New Jersey Devils,True,2017,1,1,New Jersey Devils,nico-hischier,,,,,2017,2020-06-03,Nico Hischier,23.0,NHL,NHL,1.0,82.0,0.8285500407218933,0.3222139047251808,0.5063361359967126,0.09902446095103201,0.10678695027099375,0.10141785668712922,2,3,67.94110333919525,0.0,203.82331001758575,1.0
310545,2000-04-13,"Trollhättan, SWE",Sweden,189.0,86.0,L,Buffalo Sabres,True,2018,1,1,Buffalo Sabres,rasmus-dahlin,,,,,2018,2020-06-03,Rasmus Dahlin,21.0,NHL,NHL,1.0,82.0,0.6921505331993103,0.18614654491345087,0.5060039882858595,0.0974933298629004,0.06496058705381114,0.08512214638687565,1,2,56.756343722343445,450.1,113.51268744468689,1.0
310545,2000-04-13,"Trollhättan, SWE",Sweden,189.0,86.0,L,Buffalo Sabres,True,2018,1,1,Buffalo Sabres,rasmus-dahlin,,,,,2018,2020-06-03,Rasmus Dahlin,22.0,NHL,NHL,1.0,82.0,0.8644700050354004,0.2324900392330054,0.631979965802395,0.12044555281975157,0.07996812422014268,0.10489100920966536,2,3,70.88654041290283,237.5,212.6596212387085,1.0
310545,2000-04-13,"Trollhättan, SWE",Sweden,189.0,86.0,L,Buffalo Sabres,True,2018,1,1,Buffalo Sabres,rasmus-dahlin,,,,,2018,2020-06-03,Rasmus Dahlin,23.0,NHL,NHL,1.0,82.0,0.7239906787872314,0.19470961437080844,0.529281064416423,0.10299483284656566,0.06932294393222194,0.09017170644321454,3,4,59.36723566055298,0.0,237.4689426422119,1.0
305432,2001-05-14,"Orlando, FL, USA",USA,179.0,77.0,L,New Jersey Devils,True,2019,1,1,New Jersey Devils,jack-hughes,,,,,2019,2020-06-03,Jack Hughes,20.0,NHL,NHL,1.0,82.0,0.9238768815994263,0.30795896053314203,0.6159179210662843,0.11566288632400658,0.10056685803371315,0.10934204706802897,1,2,75.75790429115295,1169.4,151.5158085823059,1.0
305432,2001-05-14,"Orlando, FL, USA",USA,179.0,77.0,L,New Jersey Devils,True,2019,1,1,New Jersey Devils,jack-hughes,,,,,2019,2020-06-03,Jack Hughes,21.0,NHL,NHL,1.0,82.0,1.0111759901046753,0.33705866336822504,0.6741173267364503,0.12658352626879465,0.10930240917347178,0.11943574732710753,2,3,82.91643118858337,920.7,248.74929356575012,1.0
305432,2001-05-14,"Orlando, FL, USA",USA,179.0,77.0,L,New Jersey Devils,True,2019,1,1,New Jersey Devils,jack-hughes,,,,,2019,2020-06-03,Jack Hughes,22.0,NHL,NHL,1.0,82.0,1.3179552555084229,0.4393184185028075,0.8786368370056153,0.16312685874286184,0.1407395672081868,0.15366677797732292,3,4,108.07233095169067,488.4,432.2893238067627,1.0
305432,2001-05-14,"Orlando, FL, USA",USA,179.0,77.0,L,New Jersey Devils,True,2019,1,1,New Jersey Devils,jack-hughes,,,,,2019,2020-06-03,Jack Hughes,23.0,NHL,NHL,1.0,82.0,1.1912107467651367,0.39707024892171217,0.7941404978434246,0.14882589544609773,0.12878164978802037,0.14042475872116345,4,5,97.67928123474121,0.0,488.39640617370605,1.0
201664,1999-02-16,"Peterborough, ON, CAN",Canada,185.0,91.0,R,Florida Panthers,True,2017,1,10,Florida Panthers,owen-tippett,,,,,2017,2020-06-03,Owen Tippett,22.0,AHL,NHL,0.5216919689563243,82.0,0.5635835528373718,0.2705201053619385,0.29306344747543334,0.061799712018542244,0.0911423257670744,0.0725283954258132,1,2,46.21385133266449,88.8,48.24726079130173,0.522
201664,1999-02-16,"Peterborough, ON, CAN",Canada,185.0,91.0,R,Florida Panthers,True,2017,1,10,Florida Panthers,owen-tippett,,,,,2017,2020-06-03,Owen Tippett,22.0,AHL,AHL,0.4783080310436757,76.0,0.7575437426567078,0.3636209964752197,0.39392274618148804,0.0762583770490251,0.11486027792417827,0.0900974345695175,1,3,57.57332444190979,31.0,55.040098166465754,0.478
201664,1999-02-16,"Peterborough, ON, CAN",Canada,185.0,91.0,R,Florida Panthers,True,2017,1,10,Florida Panthers,owen-tippett,,,,,2017,2020-06-03,Owen Tippett,23.0,NHL,NHL,1.0,82.0,0.6916255354881287,0.33198025703430173,0.35964527845382693,0.07364119335191903,0.10965655319806919,0.08669059047738656,2,4,56.71329391002655,0.0,88.81301826310158,0.522
201664,1999-02-16,"Peterborough, ON, CAN",Canada,185.0,91.0,R,Florida Panthers,True,2017,1,10,Florida Panthers,owen-tippett,,,,,2017,2020-06-03,Owen Tippett,23.0,AHL,NHL,0.5067637782013781,82.0,0.5207218527793884,0.24994648933410643,0.27077536344528197,0.0582632149832751,0.08555294394247634,0.06830860671794226,3,5,42.69919192790985,0.0,31.043935100883722,0.242346
